O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,N,Standard Error,Lower CI Bound,Upper CI Bound,Recommend Suppress,Date,Domain Source
11-2021.00,Marketing Managers,1.C.5.a,Dependability,IM,Importance,4.35,37,0.17,4,4.7,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.5.b,Attention to Detail,IM,Importance,4.32,37,0.16,3.99,4.64,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.5.c,Integrity,IM,Importance,4.17,37,0.17,3.82,4.52,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.6,Independence,IM,Importance,3.88,37,0.17,3.54,4.22,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.7.a,Innovation,IM,Importance,4.15,37,0.14,3.86,4.44,N,07/2015,Incumbent
11-2021.00,Marketing Managers,1.C.7.b,Analytical Thinking,IM,Importance,4,37,0.15,3.69,4.3,N,07/2015,Incumbent
11-2022.00,Sales Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.35,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.1.b,Persistence,IM,Importance,4.48,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.1.c,Initiative,IM,Importance,4.78,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.2.b,Leadership,IM,Importance,4.57,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.3.a,Cooperation,IM,Importance,4.35,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.3.b,Concern for Others,IM,Importance,3.74,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.3.c,Social Orientation,IM,Importance,3.83,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.4.a,Self-Control,IM,Importance,4.3,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.52,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.57,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.5.a,Dependability,IM,Importance,4.57,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.5.b,Attention to Detail,IM,Importance,4.09,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.5.c,Integrity,IM,Importance,4.64,22,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.6,Independence,IM,Importance,4.3,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.7.a,Innovation,IM,Importance,4.13,23,,,,,07/2016,Occupational Expert
11-2022.00,Sales Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.14,22,,,,,07/2016,Occupational Expert
11-3012.00,Administrative Services Managers,1.C.1.a,Achievement/Effort,IM,Importance,3.97,45,0.09,3.8,4.14,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.1.b,Persistence,IM,Importance,3.98,45,0.13,3.71,4.25,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.1.c,Initiative,IM,Importance,4.24,44,0.09,4.07,4.41,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.2.b,Leadership,IM,Importance,3.95,45,0.23,3.48,4.42,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.3.a,Cooperation,IM,Importance,4.3,45,0.09,4.11,4.48,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.3.b,Concern for Others,IM,Importance,4.03,45,0.23,3.57,4.5,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.3.c,Social Orientation,IM,Importance,3.65,45,0.17,3.31,4,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.4.a,Self-Control,IM,Importance,4.53,44,0.13,4.28,4.78,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.44,45,0.14,4.15,4.73,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.19,45,0.09,4.02,4.37,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.5.a,Dependability,IM,Importance,4.69,45,0.09,4.5,4.88,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.5.b,Attention to Detail,IM,Importance,4.34,45,0.12,4.11,4.57,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.5.c,Integrity,IM,Importance,4.73,45,0.09,4.54,4.92,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.6,Independence,IM,Importance,4.11,45,0.11,3.89,4.34,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.7.a,Innovation,IM,Importance,3.85,45,0.09,3.66,4.04,N,07/2017,Incumbent
11-3012.00,Administrative Services Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.04,45,0.12,3.8,4.28,N,07/2017,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.1.a,Achievement/Effort,IM,Importance,3.91,26,0.22,3.45,4.37,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.1.b,Persistence,IM,Importance,4.03,26,0.17,3.67,4.38,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.1.c,Initiative,IM,Importance,4.36,26,0.15,4.05,4.67,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.2.b,Leadership,IM,Importance,4.15,26,0.29,3.57,4.74,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.3.a,Cooperation,IM,Importance,4.33,26,0.18,3.95,4.71,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.3.b,Concern for Others,IM,Importance,3.71,26,0.36,2.98,4.44,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.3.c,Social Orientation,IM,Importance,3.69,26,0.4,2.88,4.51,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.4.a,Self-Control,IM,Importance,4.1,26,0.17,3.75,4.46,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.16,26,0.22,3.7,4.63,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.19,26,0.12,3.95,4.44,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.5.a,Dependability,IM,Importance,4.54,26,0.13,4.28,4.79,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.5.b,Attention to Detail,IM,Importance,4.67,25,0.13,4.4,4.93,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.5.c,Integrity,IM,Importance,4.67,26,0.13,4.39,4.94,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.6,Independence,IM,Importance,3.8,26,0.18,3.43,4.17,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.7.a,Innovation,IM,Importance,3.7,26,0.2,3.29,4.12,N,07/2016,Incumbent
11-3021.00,Computer and Information Systems Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.25,26,0.17,3.91,4.6,N,07/2016,Incumbent
11-3031.00,Financial Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.06,17,0.12,3.8,4.31,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.1.b,Persistence,IM,Importance,3.92,17,0.07,3.78,4.07,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.1.c,Initiative,IM,Importance,4.07,17,0.07,3.92,4.23,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.2.b,Leadership,IM,Importance,4.47,17,0.1,4.27,4.68,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.3.a,Cooperation,IM,Importance,4.47,17,0.09,4.28,4.66,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.3.b,Concern for Others,IM,Importance,4.31,17,0.22,3.84,4.78,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.3.c,Social Orientation,IM,Importance,3.99,17,0.27,3.42,4.56,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.4.a,Self-Control,IM,Importance,4.09,17,0.28,3.49,4.69,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.2,16,0.13,3.92,4.47,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.16,17,0.11,3.93,4.39,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.5.a,Dependability,IM,Importance,4.33,17,0.17,3.97,4.69,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.5.b,Attention to Detail,IM,Importance,4.68,17,0.11,4.44,4.91,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.5.c,Integrity,IM,Importance,4.55,17,0.25,4.01,5,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.6,Independence,IM,Importance,4.06,17,0.28,3.48,4.65,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.7.a,Innovation,IM,Importance,3.73,17,0.16,3.4,4.06,N,08/2022,Incumbent
11-3031.00,Financial Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.19,17,0.12,3.94,4.45,N,08/2022,Incumbent
11-3031.01,Treasurers and Controllers,1.C.1.a,Achievement/Effort,IM,Importance,4.32,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.1.b,Persistence,IM,Importance,4.52,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.1.c,Initiative,IM,Importance,4.48,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.2.b,Leadership,IM,Importance,4.36,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.3.a,Cooperation,IM,Importance,4.32,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.3.b,Concern for Others,IM,Importance,3.64,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.3.c,Social Orientation,IM,Importance,3.52,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.4.a,Self-Control,IM,Importance,4.2,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.4.b,Stress Tolerance,IM,Importance,4.52,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.4,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.5.a,Dependability,IM,Importance,4.76,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.5.b,Attention to Detail,IM,Importance,4.83,24,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.5.c,Integrity,IM,Importance,5,24,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.6,Independence,IM,Importance,4.08,25,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.7.a,Innovation,IM,Importance,3.71,24,,,,,08/2020,Occupational Expert
11-3031.01,Treasurers and Controllers,1.C.7.b,Analytical Thinking,IM,Importance,4.62,24,,,,,08/2020,Occupational Expert
11-3031.03,Investment Fund Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.56,24,0.17,4.2,4.91,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.1.b,Persistence,IM,Importance,4.52,24,0.17,4.17,4.87,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.1.c,Initiative,IM,Importance,4.49,24,0.21,4.06,4.92,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.2.b,Leadership,IM,Importance,3.99,24,0.23,3.51,4.46,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.3.a,Cooperation,IM,Importance,4.15,25,0.15,3.83,4.46,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.3.b,Concern for Others,IM,Importance,3.04,25,0.14,2.76,3.33,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.3.c,Social Orientation,IM,Importance,3.08,25,0.2,2.68,3.49,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.4.a,Self-Control,IM,Importance,4.06,25,0.14,3.77,4.36,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.61,25,0.13,4.35,4.88,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,3.75,25,0.18,3.38,4.13,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.5.a,Dependability,IM,Importance,4.5,25,0.16,4.18,4.82,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.5.b,Attention to Detail,IM,Importance,4.39,25,0.12,4.13,4.65,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.5.c,Integrity,IM,Importance,4.92,25,0.05,4.82,5,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.6,Independence,IM,Importance,3.7,25,0.22,3.24,4.16,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.7.a,Innovation,IM,Importance,3.35,25,0.13,3.07,3.62,N,07/2014,Incumbent
11-3031.03,Investment Fund Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.79,25,0.09,4.6,4.98,N,07/2014,Incumbent
11-3051.00,Industrial Production Managers,1.C.1.a,Achievement/Effort,IM,Importance,4.12,34,0.08,3.95,4.28,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.1.b,Persistence,IM,Importance,4.19,34,0.1,3.98,4.4,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.1.c,Initiative,IM,Importance,4.31,34,0.13,4.04,4.57,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.2.b,Leadership,IM,Importance,4.49,34,0.15,4.19,4.8,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.3.a,Cooperation,IM,Importance,4.29,34,0.13,4.03,4.55,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.3.b,Concern for Others,IM,Importance,4.1,34,0.15,3.8,4.4,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.3.c,Social Orientation,IM,Importance,3.61,33,0.14,3.32,3.91,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.4.a,Self-Control,IM,Importance,4.28,34,0.2,3.87,4.69,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.25,34,0.13,3.98,4.53,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.34,33,0.17,4,4.69,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.5.a,Dependability,IM,Importance,4.43,34,0.12,4.18,4.69,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.5.b,Attention to Detail,IM,Importance,4.72,34,0.08,4.55,4.89,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.5.c,Integrity,IM,Importance,4.48,33,0.11,4.27,4.7,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.6,Independence,IM,Importance,4.04,33,0.15,3.74,4.35,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.7.a,Innovation,IM,Importance,3.75,33,0.19,3.37,4.13,N,08/2021,Incumbent
11-3051.00,Industrial Production Managers,1.C.7.b,Analytical Thinking,IM,Importance,4.09,33,0.2,3.68,4.51,N,08/2021,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.1.a,Achievement/Effort,IM,Importance,3.94,17,0.18,3.56,4.33,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.1.b,Persistence,IM,Importance,3.92,17,0.21,3.47,4.36,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.1.c,Initiative,IM,Importance,4.74,17,0.14,4.44,5,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.2.b,Leadership,IM,Importance,4.63,17,0.17,4.27,4.99,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.3.a,Cooperation,IM,Importance,4.59,17,0.17,4.22,4.96,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.3.b,Concern for Others,IM,Importance,3.97,17,0.32,3.3,4.64,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.3.c,Social Orientation,IM,Importance,3.73,17,0.33,3.03,4.43,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.4.a,Self-Control,IM,Importance,4.24,17,0.21,3.78,4.69,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.4.b,Stress Tolerance,IM,Importance,4.2,16,0.19,3.8,4.59,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.4.c,Adaptability/Flexibility,IM,Importance,4.14,17,0.21,3.7,4.59,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.5.a,Dependability,IM,Importance,4.47,16,0.23,3.98,4.96,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.5.b,Attention to Detail,IM,Importance,4.75,17,0.16,4.42,5,N,08/2022,Incumbent
11-3051.01,Quality Control Systems Managers,1.C.5.c,Integrity,IM,Importance,4.83,17,0.13,4.55,5,N,08/2022,Incumbent
